2026-02-16 20:52:08 - INFO 	 Инициализация главного окна
2026-02-16 20:52:08 - SUCCESS 	 Главное окно готово к работе
2026-02-16 20:52:23 - INFO 	 Закрытие приложения, сохранение состояния
2026-02-16 20:52:23 - DEBUG 	 Состояние окна сохранено
2026-02-16 20:56:48 - INFO 	 Инициализация главного окна
2026-02-16 20:56:48 - SUCCESS 	 Главное окно готово к работе
2026-02-16 20:56:59 - INFO 	 Закрытие приложения, сохранение состояния
2026-02-16 20:56:59 - SUCCESS 	 Состояние окна сохранено
2026-02-16 21:02:36 - INFO 	 Инициализация главного окна
2026-02-16 21:02:36 - DEBUG 	 Состояние окна загружено
2026-02-16 21:02:37 - SUCCESS 	 Главное окно готово к работе
2026-02-16 21:02:40 - INFO 	 Закрытие приложения, сохранение состояния
2026-02-16 21:02:40 - SUCCESS 	 Состояние окна сохранено
2026-02-16 21:05:37 - INFO 	 Инициализация главного окна
2026-02-16 21:06:20 - INFO 	 Инициализация главного окна
2026-02-16 21:06:50 - INFO 	 Инициализация главного окна
2026-02-16 21:06:50 - DEBUG 	 Состояние окна загружено
2026-02-16 21:06:50 - SUCCESS 	 Главное окно готово к работе
2026-02-16 21:07:21 - INFO 	 Закрытие приложения, сохранение состояния
2026-02-16 21:07:21 - SUCCESS 	 Состояние окна сохранено
2026-02-16 21:08:08 - INFO 	 Инициализация главного окна
2026-02-16 21:08:08 - DEBUG 	 Состояние вкладки загружено
2026-02-16 21:08:08 - DEBUG 	 Состояние окна загружено
2026-02-16 21:08:08 - SUCCESS 	 Главное окно готово к работе
2026-02-16 21:08:26 - INFO 	 Закрытие приложения, сохранение состояния
2026-02-16 21:08:26 - SUCCESS 	 Состояние окна сохранено
